Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Total Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1)
14.0,67.0,5.1,0.0,0.0
14.0,67.0,5.35,0.0,0.0
14.0,67.0,5.6,0.0,0.0
14.0,67.0,5.85,0.0,0.0
14.0,67.0,6.1,0.0,0.0
13.75,68.25,5.85,0.0,0.0
13.5,69.5,5.6,0.0,0.0
13.25,70.75,5.35,0.0,0.0
13.0,72.0,5.1,0.0,0.0
13.0,70.75,5.35,0.0,0.0
13.0,69.5,5.6,0.0,0.0
13.0,68.25,5.85,0.0,0.0
13.0,67.0,6.1,0.0,0.0
12.75,69.25,5.6,0.0,0.0
12.5,71.5,5.1,0.0,0.0
12.25,73.75,4.6,0.0,0.0
12.0,76.0,4.1,0.0,0.0
12.0,76.0,3.975,0.0,0.0
12.0,76.0,3.85,0.0,0.0
12.0,76.0,3.725,0.0,0.0
12.0,76.0,3.6,0.0,0.0
12.0,76.0,3.975,0.0,0.0
12.0,76.0,4.35,0.0,0.0
12.0,76.0,4.725,0.0,0.0
12.0,76.0,5.1,15.0,0.0
12.0,76.0,5.1,22.5,0.0
12.0,76.0,5.1,30.0,0.0
12.0,76.0,5.1,38.0,0.0
12.0,76.0,5.1,46.0,0.0
12.25,76.25,4.975,54.0,0.0
12.5,76.5,4.85,62.0,0.0
12.75,76.75,4.725,75.5,0.0
13.0,77.0,4.6,89.0,0.0
13.25,75.75,4.85,102.5,0.0
13.5,74.5,5.1,116.0,0.0
13.75,73.25,5.35,131.0,0.0
14.0,72.0,5.6,146.0,0.0
14.25,73.25,5.725,161.0,0.0
14.5,74.5,5.85,176.0,0.0
14.75,75.75,5.975,217.0,0.0
15.0,77.0,6.1,258.0,0.0
15.5,74.75,6.374999999999999,299.0,0.0
16.0,72.5,6.65,340.0,0.0
16.5,70.25,6.925000000000001,307.75,0.0
17.0,68.0,7.2,275.5,0.0
17.25,64.0,7.325,243.25,0.0
17.5,60.0,7.45,211.0,0.0
17.75,56.0,7.575,217.75,0.0
18.0,52.0,7.7,224.5,0.0
18.5,53.0,8.075,231.25,0.0
19.0,54.0,8.45,238.0,0.0
19.5,55.0,8.825,391.5,0.0
20.0,56.0,9.2,545.0,0.0
20.0,54.25,9.325,698.5,0.0
20.0,52.5,9.45,852.0,0.0
20.0,50.75,9.575,704.25,0.0
20.0,49.0,9.7,556.5,0.0
20.0,50.0,9.325,408.75,0.0
20.0,51.0,8.95,261.0,0.0
20.0,52.0,8.575,254.0,0.0
20.0,53.0,8.2,247.0,0.0
19.75,53.75,7.949999999999999,240.0,0.0
19.5,54.5,7.699999999999999,233.0,0.0
19.25,55.25,7.45,266.25,0.0
19.0,56.0,7.2,299.5,0.0
19.0,57.0,6.925000000000001,332.75,0.0
19.0,58.0,6.65,366.0,0.0
19.0,59.0,6.374999999999999,348.5,0.0
19.0,60.0,6.1,331.0,0.0
18.75,61.0,6.1,313.5,0.0
18.5,62.0,6.1,296.0,0.0
18.25,63.0,6.1,253.25,0.0
18.0,64.0,6.1,210.5,0.0
17.75,65.0,6.374999999999999,167.75,0.0
17.5,66.0,6.65,125.0,0.0
17.25,67.0,6.925000000000001,105.0,0.0
17.0,68.0,7.2,85.0,0.0
16.75,69.0,6.925000000000001,65.0,0.0
16.5,70.0,6.65,45.0,0.0
16.25,71.0,6.374999999999999,38.5,0.0
16.0,72.0,6.1,32.0,0.0
16.0,72.0,5.85,25.5,0.0
16.0,72.0,5.6,19.0,0.0
16.0,72.0,5.35,0.0,0.0
16.0,72.0,5.1,0.0,0.0
15.75,74.5,5.1,0.0,0.0
15.5,77.0,5.1,0.0,0.0
15.25,79.5,5.1,0.0,0.0
15.0,82.0,5.1,0.0,0.0
14.75,85.0,4.85,0.0,0.0
14.5,88.0,4.6,0.0,0.0
14.25,91.0,4.35,0.0,0.0
14.0,94.0,4.1,0.0,0.0
13.75,95.5,4.1,0.0,0.0
13.5,97.0,4.1,0.0,0.0
13.25,98.5,4.1,0.0,0.0
13.0,100.0,4.1,0.0,0.0
13.0,100.0,4.1,0.0,0.0
13.0,100.0,4.1,0.0,0.0
13.0,100.0,4.1,0.0,0.0
13.0,100.0,4.1,0.0,0.0
13.0,99.75,4.1,0.0,0.0
13.0,99.5,4.1,0.0,0.0
13.0,99.25,4.1,0.0,0.0
13.0,99.0,4.1,0.0,0.0
13.0,99.25,4.35,0.0,0.0
13.0,99.5,4.6,0.0,0.0
13.0,99.75,4.85,0.0,0.0
13.0,100.0,5.1,0.0,0.0
13.0,100.0,4.725,0.0,0.0
13.0,100.0,4.35,0.0,0.0
13.0,100.0,3.975,0.0,0.0
13.0,100.0,3.6,0.0,0.0
13.0,100.0,3.2,0.0,0.0
13.0,100.0,2.8,0.0,0.0
13.0,100.0,2.4,0.0,0.0
13.0,100.0,2.0,0.0,0.0
13.0,100.0,2.125,0.0,0.0
13.0,100.0,2.25,0.0,0.0
13.0,100.0,2.375,0.0,0.0
13.0,100.0,2.5,14.5,0.0
13.0,100.0,2.625,21.75,0.0
13.0,100.0,2.75,29.0,0.0
13.0,100.0,2.875,137.5,0.0
13.0,100.0,3.0,246.0,0.0
13.0,100.0,3.0,354.5,0.0
13.0,100.0,3.0,463.0,0.0
13.0,100.0,3.0,516.0,0.0
13.0,100.0,3.0,569.0,0.0
13.0,100.0,3.4,622.0,0.0
13.0,100.0,3.8,675.0,0.0
13.0,100.0,4.199999999999999,712.25,0.0
13.0,100.0,4.6,749.5,0.0
13.0,100.0,4.475,786.75,0.0
13.0,100.0,4.35,824.0,0.0
13.0,100.0,4.225,839.5,0.0
13.0,100.0,4.1,855.0,0.0
13.25,100.0,3.975,870.5,0.0
13.5,100.0,3.85,886.0,0.0
13.75,100.0,3.725,903.25,0.0
14.0,100.0,3.6,920.5,0.0
14.0,100.0,3.975,937.75,0.0
14.0,100.0,4.35,955.0,0.0
14.0,100.0,4.725,963.25,0.0
14.0,100.0,5.1,971.5,0.0
14.0,100.0,4.725,979.75,0.0
14.0,100.0,4.35,988.0,0.0
14.0,100.0,3.975,989.0,0.0
14.0,100.0,3.6,990.0,0.0
14.0,100.0,3.975,991.0,0.0
14.0,100.0,4.35,992.0,0.0
14.0,100.0,4.725,987.0,0.0
14.0,100.0,5.1,982.0,0.0
14.0,100.0,5.35,977.0,0.0
14.0,100.0,5.6,972.0,0.0
14.0,100.0,5.85,965.5,0.0
14.0,100.0,6.1,959.0,0.0
14.0,100.0,5.6,952.5,0.0
14.0,100.0,5.1,946.0,0.0
14.0,100.0,4.6,917.25,0.0
14.0,100.0,4.1,888.5,0.0
14.25,98.5,3.825,859.75,0.0
14.5,97.0,3.55,831.0,0.0
14.75,95.5,3.275,813.75,0.0
15.0,94.0,3.0,796.5,0.0
15.25,92.5,3.775,779.25,0.0
15.5,91.0,4.55,762.0,0.0
15.75,89.5,5.324999999999999,637.0,0.0
16.0,88.0,6.1,512.0,0.0
16.0,88.0,5.725,387.0,0.0
16.0,88.0,5.35,262.0,0.0
16.0,88.0,4.975,282.75,0.0
16.0,88.0,4.6,303.5,0.0
15.75,89.5,4.475,324.25,0.0
15.5,91.0,4.35,345.0,0.0
15.25,92.5,4.225,260.5,0.0
15.0,94.0,4.1,176.0,0.0
15.0,94.0,3.825,91.5,0.0
15.0,94.0,3.55,7.0,0.0
15.0,94.0,3.275,0.0,0.0
15.0,94.0,3.0,0.0,0.0
15.0,92.5,2.875,0.0,0.0
15.0,91.0,2.75,0.0,0.0
15.0,89.5,2.625,0.0,0.0
15.0,88.0,2.5,0.0,0.0
14.75,89.5,2.5,0.0,0.0
14.5,91.0,2.5,0.0,0.0
14.25,92.5,2.5,0.0,0.0
14.0,94.0,2.5,0.0,0.0
14.0,94.0,2.5,0.0,0.0
14.0,94.0,2.5,0.0,0.0
14.0,94.0,2.5,0.0,0.0
14.0,94.0,2.5,0.0,0.0
14.0,94.0,2.775,0.0,0.0
14.0,94.0,3.05,0.0,0.0
14.0,94.0,3.325,0.0,0.0
14.0,94.0,3.6,0.0,0.0
14.0,94.0,3.725,0.0,0.0
14.0,94.0,3.85,0.0,0.0
14.0,94.0,3.975,0.0,0.0
14.0,94.0,4.1,0.0,0.0
14.0,94.0,4.1,0.0,0.0
14.0,94.0,4.1,0.0,0.0
14.0,94.0,4.1,0.0,0.0
14.0,94.0,4.1,0.0,0.0
14.0,94.0,4.1,0.0,0.0
14.0,94.0,4.1,0.0,0.0
14.0,94.0,4.1,0.0,0.0
14.0,94.0,4.1,0.0,0.0
14.0,94.0,3.7,0.0,0.0
14.0,94.0,3.3,0.0,0.0
14.0,94.0,2.9,0.0,0.0
14.0,94.0,2.5,0.0,0.0
13.75,95.5,2.5,0.0,0.0
13.5,97.0,2.5,0.0,0.0
13.25,98.5,2.5,0.0,0.0
13.0,100.0,2.5,22.0,0.0
13.25,98.5,2.775,33.0,0.0
13.5,97.0,3.05,44.0,0.0
13.75,95.5,3.325,40.75,0.0
14.0,94.0,3.6,37.5,0.0
14.0,94.0,2.7,34.25,0.0
14.0,94.0,1.8,31.0,0.0
14.0,94.0,0.9,42.0,0.0
14.0,94.0,0.0,53.0,0.0
14.5,92.5,0.0,64.0,0.0
15.0,91.0,0.0,75.0,0.0
15.5,89.5,0.0,95.25,0.0
16.0,88.0,0.0,115.5,0.0
16.0,88.0,0.0,135.75,11.0
16.0,88.0,0.0,156.0,11.0
16.0,88.0,0.0,155.0,11.0
16.0,88.0,0.0,154.0,11.0
16.25,88.0,0.9,153.0,11.0
16.5,88.0,1.8,152.0,11.0
16.75,88.0,2.7,185.5,11.0
17.0,88.0,3.6,219.0,11.0
17.25,86.75,3.2,252.5,11.0
17.5,85.5,2.8,286.0,11.0
17.75,84.25,2.4,299.75,11.0
18.0,83.0,2.0,313.5,11.0
18.25,80.5,2.125,327.25,8.8
18.5,78.0,2.25,341.0,8.8
18.75,75.5,2.375,338.25,8.8
19.0,73.0,2.5,335.5,8.8
19.5,72.0,2.625,332.75,4.4
20.0,71.0,2.75,330.0,4.4
20.5,70.0,2.875,321.5,4.4
